// ASCII, x, y, w, h, offsetx, offsety
// Numbers
49,0,0,8,8,0,0    // 1
50,8,0,8,8,0,0    // 2
51,16,0,8,8,0,0   // 3
52,24,0,8,8,0,0   // 4
53,32,0,8,8,0,0   // 5
54,40,0,8,8,0,0   // 6
55,48,0,8,8,0,0   // 7
56,56,0,8,8,0,0   // 8
57,64,0,8,8,0,0   // 9
48,72,0,8,8,0,0   // 0

// Special Characters
45,80,0,8,8,0,0   // -
43,88,0,8,8,0,0   // +
58,96,0,8,8,0,0   // :

// Lowercase alphabets
97,104,0,8,8,0,0  // a
98,112,0,8,8,0,0  // b
99,120,0,8,8,0,0  // c
100,128,0,8,8,0,0 // d
101,136,0,8,8,0,0 // e
102,144,0,8,8,0,0 // f
103,152,0,8,8,0,0 // g
104,160,0,8,8,0,0 // h
105,168,0,8,8,0,0 // i
106,176,0,8,8,0,0 // j
107,184,0,8,8,0,0 // k
108,192,0,8,8,0,0 // l
109,200,0,8,8,0,0 // m
110,208,0,8,8,0,0 // n
111,216,0,8,8,0,0 // o
112,224,0,8,8,0,0 // p
113,232,0,8,8,0,0 // q
114,240,0,8,8,0,0 // r
115,248,0,8,8,0,0 // s
116,0,8,8,8,0,0   // t
117,8,8,8,8,0,0   // u
118,16,8,8,8,0,0  // v
119,24,8,8,8,0,0  // w
120,32,8,8,8,0,0  // x
121,40,8,8,8,0,0  // y
122,48,8,8,8,0,0  // z

// Uppercase alphabets
65,56,8,8,8,0,0   // A
66,64,8,8,8,0,0   // B
67,72,8,8,8,0,0   // C
68,80,8,8,8,0,0   // D
69,88,8,8,8,0,0   // E
70,96,8,8,8,0,0   // F
71,104,8,8,8,0,0  // G
72,112,8,8,8,0,0  // H
73,120,8,8,8,0,0  // I
74,128,8,8,8,0,0  // J
75,136,8,8,8,0,0  // K
76,144,8,8,8,0,0  // L
77,152,8,8,8,0,0  // M
78,160,8,8,8,0,0  // N
79,168,8,8,8,0,0  // O
80,176,8,8,8,0,0  // P
81,184,8,8,8,0,0  // Q
82,192,8,8,8,0,0  // R
83,200,8,8,8,0,0  // S
84,208,8,8,8,0,0  // T
85,216,8,8,8,0,0  // U
86,224,8,8,8,0,0  // V
87,232,8,8,8,0,0  // W
88,240,8,8,8,0,0  // X
89,248,8,8,8,0,0  // Y
90,0,16,8,8,0,0   // Z

// Space
32,8,16,8,8,0,0
